target_achievement,company_tenure_years,distance_to_office_km,job_satisfaction,manager_support_score,marital_status,working_hours_per_week
0.87,14.5,1.9,1,4,Single,56
1.45,11.6,19.5,1,5,Married,53
1.23,14.1,10.1,3,5,Married,59
1.1,13.4,15.7,2,3,Single,60
0.66,9.0,27.3,5,1,Married,64
0.66,13.8,8.2,4,1,Single,63
0.56,1.3,12.9,2,3,Single,56
1.37,2.9,22.9,4,3,Single,60
1.1,0.7,7.6,3,3,Married,60
1.21,4.9,3.2,3,4,Married,56
0.52,5.8,9.4,1,1,Single,51
1.47,4.1,5.7,5,4,Married,54
1.33,12.4,28.0,4,3,Single,44
0.71,5.4,24.4,2,1,Single,40
0.68,4.2,19.4,3,4,Single,49
0.68,8.1,26.3,1,4,Married,56
0.8,2.1,24.3,1,3,Married,45
1.02,12.0,6.4,4,1,Single,62
0.93,1.1,26.9,3,3,Married,39
0.79,14.8,16.6,5,1,Married,35
1.11,11.6,24.4,3,5,Married,42
0.64,3.0,27.0,4,2,Single,55
0.79,0.1,10.2,4,2,Single,62
0.87,12.2,4.2,3,2,Married,46
0.96,10.6,7.6,4,3,Married,46
1.29,10.9,13.4,3,5,Single,39
0.7,11.6,24.7,2,1,Single,41
1.01,1.1,26.0,3,4,Married,38
1.09,5.4,1.2,3,1,Married,40
0.55,1.7,15.8,4,4,Single,47
1.11,12.9,13.1,4,1,Single,54
0.67,9.3,7.4,1,5,Single,64
0.57,5.0,4.5,1,4,Single,49
1.45,1.0,10.8,2,3,Married,37
1.47,4.7,28.3,1,1,Married,57
1.31,4.9,10.4,3,1,Single,42
0.8,10.9,16.0,4,4,Single,54
0.6,9.6,21.4,1,3,Single,50
1.18,13.3,11.5,1,3,Single,47
0.94,7.1,29.2,2,5,Married,52
0.62,1.8,28.9,2,3,Married,62
1.0,10.7,8.3,3,3,Single,44
0.53,11.4,15.4,4,3,Single,64
1.41,8.4,9.7,2,2,Single,53
0.76,11.6,9.3,1,5,Single,51
1.16,7.4,2.1,4,1,Single,58
0.81,7.8,18.7,4,4,Married,53
1.02,6.4,15.6,1,1,Married,62
1.05,0.4,2.5,2,5,Married,60
0.68,1.6,9.1,1,4,Married,57
